epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8256,0.90366,4.37254,1.32375,0,0,0,0,0.47278,4.59365,1.00639,0.000107531,0.000107531,0.000107531
2,18.1615,0.68767,3.95451,1.17141,0.04055,0.86447,0.21222,0.18964,0.49275,4.14504,1.0143,0.000214204,0.000214204,0.000214204
3,26.2203,0.75872,3.56377,1.23612,0.75048,0.14351,0.25088,0.21935,0.51587,3.97879,1.0252,0.000316482,0.000316482,0.000316482
4,34.2579,0.70913,3.2668,1.18295,0.50933,0.38559,0.42,0.36597,0.5318,3.4233,1.04997,0.00031322,0.00031322,0.00031322
5,42.2728,0.74185,3.07411,1.21695,0.3862,0.54907,0.47971,0.41668,0.51412,3.09831,1.04699,0.000306626,0.000306626,0.000306626
6,50.2321,0.71812,2.77828,1.17549,0.49297,0.51776,0.51639,0.45645,0.47744,2.92349,1.0012,0.000300033,0.000300033,0.000300033
7,58.6674,0.69621,2.69605,1.16677,0.50195,0.61876,0.59249,0.5351,0.48921,2.91866,1.02493,0.00029344,0.00029344,0.00029344
8,66.7861,0.6382,2.45037,1.12475,0.48315,0.58224,0.59969,0.52432,0.51909,2.77073,1.0209,0.000286846,0.000286846,0.000286846
9,75.1178,0.62271,2.27907,1.10453,0.53619,0.73107,0.7035,0.62833,0.51665,2.43048,1.02706,0.000280253,0.000280253,0.000280253
10,83.2943,0.6201,2.14828,1.10736,0.533,0.73607,0.72041,0.66294,0.45278,2.44444,0.96593,0.000273659,0.000273659,0.000273659
11,91.2571,0.62973,2.12303,1.09893,0.68424,0.63898,0.72443,0.65556,0.46877,2.31015,0.97352,0.000267066,0.000267066,0.000267066
12,99.3468,0.59314,1.99571,1.08858,0.61254,0.75115,0.77544,0.70286,0.46286,2.15307,0.9735,0.000260473,0.000260473,0.000260473
13,107.325,0.60539,1.94414,1.09864,0.66554,0.69328,0.75511,0.68415,0.44282,2.09703,0.95931,0.000253879,0.000253879,0.000253879
14,115.245,0.56629,1.821,1.06787,0.70053,0.73317,0.83854,0.76599,0.44366,1.91285,0.96211,0.000247286,0.000247286,0.000247286
15,123.13,0.5678,1.70121,1.06298,0.67161,0.79152,0.8418,0.78019,0.43569,1.92941,0.94052,0.000240692,0.000240692,0.000240692
16,131.06,0.56607,1.68184,1.06099,0.69984,0.8631,0.8915,0.82708,0.41863,1.76337,0.93862,0.000234099,0.000234099,0.000234099
17,139.02,0.53391,1.58733,1.04348,0.84276,0.71855,0.88081,0.81495,0.41445,1.81541,0.93062,0.000227506,0.000227506,0.000227506
18,146.864,0.55894,1.55748,1.04714,0.77167,0.8053,0.87121,0.80102,0.43765,1.68668,0.94655,0.000220912,0.000220912,0.000220912
19,154.728,0.52062,1.49079,1.02884,0.81083,0.83943,0.90199,0.83454,0.40185,1.59852,0.92953,0.000214319,0.000214319,0.000214319
20,162.687,0.5304,1.45031,1.02917,0.78526,0.86554,0.90226,0.84605,0.40212,1.56537,0.9218,0.000207725,0.000207725,0.000207725
21,170.823,0.53782,1.43615,1.03612,0.81885,0.84564,0.90746,0.84576,0.41955,1.61952,0.93954,0.000201132,0.000201132,0.000201132
22,178.827,0.53983,1.39548,1.04227,0.75195,0.88211,0.91485,0.84149,0.42418,1.53724,0.93743,0.000194539,0.000194539,0.000194539
23,186.71,0.52413,1.41094,1.02674,0.83896,0.80682,0.91151,0.84132,0.42687,1.60849,0.93627,0.000187945,0.000187945,0.000187945
24,194.654,0.49957,1.32596,1.01739,0.85209,0.81268,0.9317,0.85936,0.43,1.41931,0.94423,0.000181352,0.000181352,0.000181352
25,202.616,0.4843,1.30755,1.01095,0.88362,0.82953,0.92267,0.86245,0.3963,1.40851,0.92419,0.000174758,0.000174758,0.000174758
26,210.567,0.46868,1.25095,0.99133,0.8624,0.81283,0.9217,0.85668,0.40891,1.41755,0.94809,0.000168165,0.000168165,0.000168165
27,218.4,0.47559,1.25346,1.00673,0.88806,0.87332,0.94613,0.89073,0.38422,1.42273,0.91753,0.000161572,0.000161572,0.000161572
28,226.952,0.47745,1.25,1.00062,0.84625,0.87799,0.93074,0.87384,0.36506,1.38178,0.90114,0.000154978,0.000154978,0.000154978
29,235.743,0.47497,1.22301,1.00935,0.90094,0.90247,0.95012,0.88908,0.3812,1.29755,0.91438,0.000148385,0.000148385,0.000148385
30,244.139,0.47091,1.16112,0.99349,0.8971,0.85383,0.94294,0.88166,0.38842,1.29193,0.91573,0.000141791,0.000141791,0.000141791
31,252.662,0.46273,1.15829,0.98573,0.90662,0.82591,0.93051,0.87212,0.37898,1.29893,0.90353,0.000135198,0.000135198,0.000135198
32,261.388,0.45137,1.10194,0.9917,0.93068,0.83536,0.9464,0.89472,0.36505,1.22504,0.89587,0.000128605,0.000128605,0.000128605
33,269.977,0.44632,1.06923,0.97669,0.89134,0.88122,0.94544,0.89482,0.35559,1.23489,0.88401,0.000122011,0.000122011,0.000122011
34,278.044,0.4771,1.14582,1.00644,0.92242,0.86437,0.95506,0.90087,0.35864,1.20936,0.88785,0.000115418,0.000115418,0.000115418
35,286.875,0.47294,1.12481,1.00498,0.91035,0.87835,0.9555,0.89748,0.3657,1.1996,0.89045,0.000108824,0.000108824,0.000108824
36,294.833,0.42906,1.01566,0.96621,0.94258,0.84567,0.94555,0.88904,0.35982,1.16586,0.88264,0.000102231,0.000102231,0.000102231
37,303.055,0.44009,1.04203,0.98887,0.88993,0.91012,0.95643,0.9045,0.35907,1.11876,0.88252,9.56376e-05,9.56376e-05,9.56376e-05
38,310.961,0.45,1.08346,0.99394,0.87578,0.89948,0.9447,0.8938,0.35749,1.19501,0.87975,8.90442e-05,8.90442e-05,8.90442e-05
39,318.816,0.4336,1.03362,0.98204,0.88581,0.91112,0.95099,0.90286,0.35291,1.15122,0.87564,8.24508e-05,8.24508e-05,8.24508e-05
40,326.681,0.428,1.03161,0.96861,0.92841,0.88257,0.95913,0.9123,0.34797,1.12416,0.87059,7.58574e-05,7.58574e-05,7.58574e-05
41,340.278,0.27803,1.0441,0.84914,0.89823,0.89457,0.96067,0.91167,0.35808,1.28532,0.87479,6.9264e-05,6.9264e-05,6.9264e-05
42,348.108,0.27133,0.98207,0.8452,0.89893,0.89224,0.94617,0.89443,0.35591,1.18319,0.87023,6.26706e-05,6.26706e-05,6.26706e-05
43,355.998,0.25907,0.95734,0.8413,0.90568,0.88628,0.9558,0.90504,0.35622,1.13629,0.87185,5.60772e-05,5.60772e-05,5.60772e-05
44,363.956,0.25596,0.92099,0.84307,0.89815,0.87547,0.94601,0.89565,0.34731,1.16299,0.87028,4.94838e-05,4.94838e-05,4.94838e-05
45,371.959,0.25583,0.90839,0.83023,0.88368,0.92081,0.96108,0.91406,0.34431,1.07789,0.8658,4.28904e-05,4.28904e-05,4.28904e-05
46,379.977,0.24211,0.89347,0.83639,0.9511,0.84138,0.96055,0.91339,0.34399,1.07464,0.86536,3.6297e-05,3.6297e-05,3.6297e-05
47,387.896,0.24795,0.88705,0.84174,0.89017,0.90573,0.9629,0.91776,0.34324,1.05817,0.86206,2.97036e-05,2.97036e-05,2.97036e-05
48,395.808,0.24449,0.87594,0.82227,0.89891,0.91176,0.96804,0.92297,0.33826,1.05447,0.85826,2.31102e-05,2.31102e-05,2.31102e-05
49,404.204,0.23732,0.86783,0.8357,0.88696,0.91628,0.96614,0.91992,0.33367,1.0635,0.85463,1.65168e-05,1.65168e-05,1.65168e-05
50,412.916,0.23137,0.84996,0.82482,0.93696,0.87432,0.96235,0.91548,0.33536,1.06185,0.85619,9.9234e-06,9.9234e-06,9.9234e-06
